Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,
2010,3,201003,Adelaide,Darwin,Adelaide - Darwin,378,451.0588235,,,,
2010,3,201003,Adelaide,Gold Coast,Adelaide - Gold Coast,156,186.1512605,,,,
2010,3,201003,Adelaide,Melbourne,Adelaide - Melbourne,86,102.6218487,,,,
2010,3,201003,Adelaide,Perth,Adelaide - Perth,358,427.1932773,,,,
2010,3,201003,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.86,254.0010084,,,,
2010,3,201003,Adelaide,Sydney,Adelaide - Sydney,106,126.487395,,,,
2010,3,201003,Albury,Sydney,Albury - Sydney,174,207.6302521,,,,
2010,3,201003,Alice Springs,Darwin,Alice Springs - Darwin,428,510.7226891,,,,
2010,3,201003,Alice Springs,Melbourne,Alice Springs - Melbourne,226,269.6806723,,,,
2010,3,201003,Alice Springs,Sydney,Alice Springs - Sydney,498,594.2521008,,,,
2010,3,201003,Avalon,Brisbane,Avalon - Brisbane,278,331.7310924,,,,
2010,3,201003,Avalon,Sydney,Avalon - Sydney,98,116.9411765,,,,
2010,3,201003,Ayers Rock,Cairns,Ayers Rock - Cairns,698,832.907563,,,,
2010,3,201003,Ayers Rock,Sydney,Ayers Rock - Sydney,714,852,,,,
2010,3,201003,Ballina,Sydney,Ballina - Sydney,188,224.3361345,,,,
2010,3,201003,Brisbane,Cairns,Brisbane - Cairns,258,307.8655462,,,,
2010,3,201003,Brisbane,Canberra,Brisbane - Canberra,193,230.302521,,,,
2010,3,201003,Brisbane,Darwin,Brisbane - Darwin,274,326.9579832,,,,
2010,3,201003,Brisbane,Emerald,Brisbane - Emerald,316,377.0756303,,,,
2010,3,201003,Brisbane,Gladstone,Brisbane - Gladstone,218,260.1344538,,,,
2010,3,201003,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,164.6722689,,,,
2010,3,201003,Brisbane,Hobart,Brisbane - Hobart,608,725.512605,,,,
2010,3,201003,Brisbane,Mackay,Brisbane - Mackay,144,171.8319328,,,,
2010,3,201003,Brisbane,Melbourne,Brisbane - Melbourne,228,272.0672269,,,,
2010,3,201003,Brisbane,Mount Isa,Brisbane - Mount Isa,544,649.1428571,,,,
2010,3,201003,Brisbane,Perth,Brisbane - Perth,558,665.8487395,,,,
2010,3,201003,Brisbane,Proserpine,Brisbane - Proserpine,198,236.2689076,,,,
2010,3,201003,Brisbane,Rockhampton,Brisbane - Rockhampton,108,128.8739496,,,,
2010,3,201003,Brisbane,Sydney,Brisbane - Sydney,148,176.605042,,,,
2010,3,201003,Brisbane,Townsville,Brisbane - Townsville,298,355.5966387,,,,
2010,3,201003,Brisbane,Newcastle,Brisbane - Newcastle,78,93.07563025,,,,
2010,3,201003,Broome,Perth,Broome - Perth,304,362.7563025,,,,
2010,3,201003,Bundaberg,Brisbane,Bundaberg - Brisbane,320,381.8487395,,,,
2010,3,201003,Cairns,Melbourne,Cairns - Melbourne,358,427.1932773,,,,
2010,3,201003,Cairns,Sydney,Cairns - Sydney,338,403.3277311,,,,
2010,3,201003,Cairns,Townsville,Cairns - Townsville,158,188.5378151,,,,
2010,3,201003,Canberra,Melbourne,Canberra - Melbourne,106,126.487395,,,,
2010,3,201003,Canberra,Sydney,Canberra - Sydney,138,164.6722689,,,,
2010,3,201003,Coffs Harbour,Sydney,Coffs Harbour - Sydney,178,212.4033613,,,,
2010,3,201003,Darwin,Melbourne,Darwin - Melbourne,398,474.9243697,,,,
2010,3,201003,Darwin,Perth,Darwin - Perth,448,534.5882353,,,,
2010,3,201003,Darwin,Sydney,Darwin - Sydney,388,462.9915966,,,,
2010,3,201003,Devonport,Melbourne,Devonport - Melbourne,270,322.1848739,,,,
2010,3,201003,Dubbo,Sydney,Dubbo - Sydney,248,295.9327731,,,,
2010,3,201003,Geraldton,Perth,Geraldton - Perth,444,529.8151261,,,,
2010,3,201003,Gold Coast,Sydney,Gold Coast - Sydney,86,102.6218487,,,,
2010,3,201003,Hamilton Island,Sydney,Hamilton Island - Sydney,374,446.2857143,,,,
2010,3,201003,Hervey Bay,Sydney,Hervey Bay - Sydney,350,417.6470588,,,,
2010,3,201003,Hobart,Melbourne,Hobart - Melbourne,56,66.82352941,,,,
2010,3,201003,Hobart,Sydney,Hobart - Sydney,198,236.2689076,,,,
2010,3,201003,Kalgoorlie,Perth,Kalgoorlie - Perth,359,428.3865546,,,,
2010,3,201003,Karratha,Perth,Karratha - Perth,358,427.1932773,,,,
2010,3,201003,Launceston,Melbourne,Launceston - Melbourne,56,66.82352941,,,,
2010,3,201003,Launceston,Sydney,Launceston - Sydney,249.9,298.2,,,,
2010,3,201003,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,156,186.1512605,,,,
2010,3,201003,Sunshine Coast,Sydney,Sunshine Coast - Sydney,208,248.2016807,,,,
2010,3,201003,Melbourne,Gold Coast,Melbourne - Gold Coast,186,221.9495798,,,,
2010,3,201003,Melbourne,Mildura,Melbourne - Mildura,198,236.2689076,,,,
2010,3,201003,Melbourne,Perth,Melbourne - Perth,376,448.6722689,,,,
2010,3,201003,Melbourne,Sydney,Melbourne - Sydney,66,78.75630252,,,,
2010,3,201003,Melbourne,Newcastle,Melbourne - Newcastle,158,188.5378151,,,,
2010,3,201003,Paraburdoo,Perth,Paraburdoo - Perth,409,488.0504202,,,,
2010,3,201003,Perth,Newman,Perth - Newman,348,415.2605042,,,,
2010,3,201003,Perth,Port Hedland,Perth - Port Hedland,358,427.1932773,,,,
2010,3,201003,Perth,Sydney,Perth - Sydney,478,570.3865546,,,,
